designer,season,num_looks,silhouette_slim,silhouette_oversized,silhouette_structured,silhouette_draped,fabric_heavy,fabric_light,fabric_leather,fabric_denim,fabric_knit,fabric_cotton,layering_heavy,layering_minimal,color_black,color_white,color_earth_tones,color_bright,color_muted,color_plaid,distressed,patchwork,raw_edges,deconstructed,graphic_print,floral_print,abstract_print,no_print,military,punk_grunge,tailored_formal,streetwear_casual,gothic_dark
comme-des-garcons-homme-plus,fall-2016-menswear,37,0.19749652,0.19427009,0.23127948,0.16751917,0.19742191,0.1642136,0.19551969,0.17637272,0.15808138,0.17679808,0.21956462,0.19760337,0.21255822,0.12076788,0.13648188,0.1380966,0.18017459,0.17963578,0.15834728,0.18700317,0.21489502,0.2468023,0.1666918,0.18631208,0.16254422,0.1955694,0.1977183,0.17317815,0.2101521,0.19003177,0.14549786
comme-des-garcons-homme-plus,fall-2017-menswear,40,0.19770078,0.23052056,0.24592428,0.19671622,0.2048899,0.18923649,0.19963494,0.17604569,0.16251445,0.18967316,0.2243118,0.23224087,0.24061923,0.14283521,0.1371614,0.13112071,0.1728686,0.17404899,0.1757488,0.17806718,0.23871617,0.26595843,0.17872927,0.17206624,0.18265632,0.21791609,0.1914991,0.17441298,0.2184397,0.20171902,0.14420907
comme-des-garcons-homme-plus,fall-2018-menswear,32,0.18351294,0.23044446,0.25403357,0.20448542,0.20089011,0.19201422,0.19276154,0.16843829,0.18917073,0.21551107,0.23678817,0.2161784,0.14876872,0.23007588,0.13242069,0.1437616,0.19712989,0.18947402,0.1702641,0.21855466,0.24865197,0.2774077,0.20970972,0.19446611,0.20617113,0.22118588,0.19524541,0.16039556,0.20825207,0.20034903,0.092347845
comme-des-garcons-homme-plus,fall-2019-menswear,33,0.19098008,0.22607923,0.23401779,0.20738824,0.22149515,0.20264167,0.22638068,0.17301168,0.19187619,0.17537332,0.24200587,0.21364686,0.2515555,0.1296647,0.13748296,0.15289697,0.17510052,0.20574087,0.18986389,0.21714488,0.23713271,0.26597777,0.21520828,0.21177828,0.21458112,0.19965254,0.19664484,0.1915818,0.19947216,0.19361967,0.16050561
comme-des-garcons-homme-plus,fall-2020-menswear,32,0.19024026,0.22764626,0.21792969,0.19353104,0.1844673,0.17097634,0.17414497,0.16604094,0.18817526,0.18777199,0.2507006,0.20643836,0.14037812,0.11472352,0.119330585,0.23965175,0.15193033,0.252088,0.15575612,0.24446508,0.21844392,0.25171056,0.21453731,0.21597998,0.21826194,0.20252529,0.17827553,0.19394231,0.1901387,0.20607196,0.09527518
comme-des-garcons-homme-plus,fall-2021-menswear,33,0.19934912,0.24475794,0.26472136,0.20810273,0.24525467,0.193929,0.22754285,0.1743803,0.19925165,0.20936479,0.24331555,0.22704202,0.23348618,0.18385781,0.14806765,0.1686473,0.22439614,0.2121314,0.20154126,0.21271525,0.24858023,0.27939296,0.21007538,0.20351945,0.2180086,0.22707002,0.20452474,0.21709971,0.21164386,0.22177556,0.17611717
comme-des-garcons-homme-plus,fall-2022-menswear,32,0.19479224,0.2493564,0.26544452,0.21263863,0.24070245,0.19303234,0.20994298,0.1839737,0.20760423,0.22345771,0.2479662,0.22937508,0.2104794,0.1576168,0.15452671,0.21145557,0.22861417,0.20094678,0.1976737,0.2267477,0.2568588,0.28847516,0.1976195,0.20406169,0.22217222,0.23754002,0.20443939,0.21305625,0.22141804,0.2178004,0.16618332
comme-des-garcons-homme-plus,fall-2023-menswear,38,0.19172734,0.24025741,0.24449202,0.19847932,0.22607774,0.19010481,0.21389015,0.18203476,0.1920432,0.2043018,0.2573451,0.22420818,0.2104193,0.1356407,0.1570222,0.14464036,0.18616085,0.2057594,0.19801165,0.22381625,0.25347003,0.2760587,0.18931639,0.19069386,0.19814701,0.22086921,0.2055327,0.19147074,0.21392097,0.21043973,0.15109667
comme-des-garcons-homme-plus,fall-2024-menswear,40,0.17819192,0.23342884,0.24497879,0.19992714,0.1877815,0.1876491,0.17865868,0.17226282,0.18043037,0.20520115,0.25673908,0.22906432,0.18138576,0.20829017,0.12471179,0.14630798,0.16965166,0.17910144,0.17977959,0.19740088,0.2471277,0.2636605,0.1922144,0.18290502,0.18760389,0.21803574,0.19079106,0.13724242,0.21223645,0.18688145,0.110497
comme-des-garcons-homme-plus,fall-2025-menswear,35,0.18818498,0.25106063,0.21320672,0.20036486,0.2166144,0.17574637,0.20272692,0.1806245,0.1723826,0.20369531,0.26750708,0.22642449,0.19494317,0.1277013,0.23114017,0.16829199,0.19708785,0.1970125,0.1772152,0.20609246,0.2391495,0.25698885,0.19338651,0.18967748,0.19168289,0.21999064,0.2800507,0.18558049,0.19171461,0.21602064,0.12111939
comme-des-garcons-homme-plus,fall-2026-menswear,41,0.16871677,0.2373269,0.25982922,0.21401803,0.21687487,0.1886715,0.2221051,0.16172491,0.16312197,0.19579883,0.2318651,0.21087655,0.23630129,0.16635887,0.12552513,0.13431928,0.20296793,0.17625234,0.18618268,0.18848231,0.24080504,0.27596107,0.17502145,0.18035568,0.19198005,0.2164479,0.1863361,0.1791435,0.20952709,0.18107437,0.17664282
comme-des-garcons-homme-plus,spring-2013-menswear,34,0.20224623,0.21348697,0.26077446,0.20367807,0.1856955,0.19303358,0.20616333,0.16917461,0.14582635,0.19876255,0.19993627,0.22896957,0.20014074,0.18399048,0.1505899,0.121260725,0.18577127,0.17823632,0.15755701,0.16595016,0.23551223,0.27403957,0.16431987,0.17300273,0.18001997,0.22497408,0.1949276,0.15163046,0.22884725,0.18567917,0.1191154
comme-des-garcons-homme-plus,spring-2016-menswear,30,0.18651754,0.19351476,0.23085317,0.1609961,0.1699238,0.16040276,0.17857957,0.15304638,0.16383702,0.19544917,0.2245229,0.19110082,0.18853693,0.13241091,0.1515161,0.11207592,0.16864537,0.17674516,0.15691718,0.18099083,0.22108269,0.24436417,0.16814834,0.1731386,0.16640179,0.20257726,0.20214444,0.15523882,0.20374392,0.19631048,0.12384551
comme-des-garcons-homme-plus,spring-2017-menswear,40,0.18622932,0.20945838,0.242575,0.19510336,0.1767125,0.2234958,0.1978635,0.1811246,0.18266776,0.2031643,0.22270632,0.21139738,0.17215028,0.1613649,0.13746746,0.13627046,0.19866295,0.18557121,0.20333521,0.21276036,0.24390471,0.2793321,0.19779728,0.19878292,0.20751865,0.20517957,0.18470597,0.1825532,0.19228876,0.19347239,0.112760976
comme-des-garcons-homme-plus,spring-2018-menswear,39,0.1959278,0.23333655,0.23529442,0.22188224,0.18839929,0.21284497,0.20563744,0.18544802,0.20040506,0.21607761,0.24429466,0.21412307,0.15362103,0.17624764,0.13484748,0.26831552,0.20069747,0.21578255,0.17204733,0.2556571,0.2391352,0.26968765,0.2374274,0.2341838,0.24999362,0.21821369,0.18613692,0.20031998,0.20737492,0.21579406,0.12200474
